iter	Passed	Remaining
268	484	1316
269	485	1312
270	486	1309
271	487	1305
272	488	1301
273	490	1298
274	491	1294
275	492	1291
276	493	1287
277	494	1284
278	495	1280
279	496	1277
280	497	1274
281	499	1270
282	500	1267
283	501	1263
284	502	1260
285	503	1257
286	505	1255
287	506	1252
288	507	1249
289	508	1245
290	510	1242
291	511	1239
292	512	1235
293	513	1232
294	514	1229
295	515	1226
296	516	1222
297	517	1220
298	519	1216
299	520	1213
300	521	1210
301	522	1207
302	523	1204
303	524	1201
304	525	1198
305	526	1195
306	528	1192
307	529	1188
308	530	1185
309	531	1182
310	532	1180
311	533	1177
312	535	1174
313	536	1171
314	537	1168
315	538	1165
316	539	1162
317	540	1159
318	541	1156
319	542	1153
320	543	1150
321	544	1147
322	545	1144
323	547	1141
324	548	1138
325	549	1135
326	550	1132
327	551	1130
328	552	1127
329	553	1124
330	555	1121
331	556	1118
332	557	1115
333	558	1113
334	559	1110
335	560	1107
336	561	1105
337	562	1102
338	563	1099
339	565	1096
340	566	1094
341	567	1091
342	568	1088
343	569	1086
344	570	1083
345	571	1080
346	572	1077
347	573	1075
348	575	1072
349	576	1069
350	577	1067
351	578	1064
352	579	1061
353	580	1059
354	581	1056
355	582	1053
356	583	1051
357	584	1048
358	585	1046
359	587	1043
360	588	1041
361	589	1038
362	590	1036
363	591	1033
364	592	1031
365	593	1028
366	594	1026
367	596	1023
368	597	1021
369	598	1018
370	599	1016
371	600	1013
372	601	1011
373	602	1009
374	603	1006
375	605	1004
376	606	1002
377	607	999
378	608	997
379	609	994
380	610	992
381	611	989
382	612	987
383	614	985
384	615	982
385	616	980
386	617	978
387	618	976
388	620	973
389	621	971
390	622	969
391	623	966
392	624	964
393	625	962
394	626	959
395	627	957
396	628	955
397	630	952
398	631	950
399	632	948
400	633	946
401	634	944
402	635	942
403	637	939
404	638	937
405	639	935
406	640	933
407	641	930
408	642	928
409	643	926
410	644	924
411	646	922
412	647	919
413	648	917
414	649	915
415	650	913
416	651	910
417	652	908
418	653	906
419	654	904
420	656	902
421	657	900
422	658	898
423	659	895
424	660	893
425	661	891
426	662	889
427	664	887
428	665	885
429	666	883
430	667	880
431	668	878
432	669	876
433	670	874
434	671	872
435	672	870
436	674	868
437	675	866
438	676	864
439	677	862
440	678	860
441	679	858
442	680	856
443	682	854
444	683	852
445	684	849
446	685	847
447	686	845
448	687	843
449	688	842
450	690	839
451	691	837
452	692	835
453	693	833
454	694	831
455	695	829
456	696	827
457	697	825
458	698	823
459	699	821
460	701	819
461	702	817
462	703	816
463	705	814
464	706	812
465	707	810
466	708	808
467	709	806
