iter	Passed	Remaining
646	1029	561
647	1032	560
648	1033	559
649	1035	557
650	1036	555
651	1038	554
652	1039	552
653	1041	550
654	1042	549
655	1044	547
656	1045	545
657	1047	544
658	1048	542
659	1050	541
660	1052	539
661	1053	537
662	1054	536
663	1056	534
664	1058	533
665	1060	531
666	1062	530
667	1064	528
668	1066	527
669	1068	526
670	1069	524
671	1071	522
672	1072	521
673	1073	519
674	1075	517
675	1077	516
676	1078	514
677	1079	512
678	1080	510
679	1082	509
680	1083	507
681	1084	505
682	1086	504
683	1087	502
684	1088	500
685	1090	498
686	1091	497
687	1093	495
688	1094	494
689	1095	492
690	1097	490
691	1098	489
692	1100	487
693	1101	485
694	1103	484
695	1104	482
696	1105	480
697	1107	479
698	1108	477
699	1110	475
700	1112	474
701	1113	472
702	1114	470
703	1115	469
704	1117	467
705	1118	465
706	1119	464
707	1121	462
708	1122	460
709	1123	459
710	1125	457
711	1126	455
712	1127	454
713	1129	452
714	1130	450
715	1131	448
716	1133	447
717	1135	446
718	1137	444
719	1139	443
720	1140	441
721	1142	439
722	1144	438
723	1145	436
724	1146	434
725	1149	433
726	1151	432
727	1153	430
728	1154	429
729	1156	427
730	1158	426
731	1159	424
732	1160	422
733	1161	421
734	1163	419
735	1164	417
736	1165	416
737	1167	414
738	1168	412
739	1169	410
740	1170	409
741	1171	407
742	1172	405
743	1173	403
744	1174	402
745	1175	400
746	1176	398
747	1177	396
748	1179	395
749	1180	393
750	1181	391
751	1182	389
752	1183	388
753	1184	386
754	1186	384
755	1187	383
756	1188	381
757	1189	379
758	1190	378
759	1191	376
760	1193	374
761	1194	373
762	1195	371
763	1196	369
764	1197	367
765	1198	366
766	1199	364
767	1200	362
768	1201	361
769	1203	359
770	1204	357
771	1205	355
772	1206	354
773	1207	352
774	1208	350
775	1210	349
776	1211	347
777	1212	346
778	1213	344
779	1215	342
780	1216	341
781	1217	339
782	1218	337
783	1219	336
784	1221	334
785	1222	332
786	1223	331
787	1224	329
788	1225	327
789	1227	326
790	1228	324
791	1229	322
792	1230	321
793	1231	319
794	1232	317
795	1233	316
796	1234	314
797	1235	312
798	1237	311
799	1238	309
800	1239	307
801	1240	306
802	1242	304
803	1243	303
804	1244	301
805	1245	299
806	1246	298
807	1247	296
808	1248	294
809	1249	293
810	1250	291
811	1251	289
812	1253	288
813	1254	286
814	1255	284
815	1256	283
816	1257	281
817	1258	279
818	1259	278
819	1260	276
820	1261	275
821	1262	273
822	1263	271
823	1265	270
824	1266	268
825	1267	267
826	1268	265
827	1269	263
828	1270	262
829	1271	260
830	1273	258
831	1274	257
832	1275	255
833	1276	254
834	1277	252
835	1278	250
836	1279	249
837	1280	247
838	1281	245
839	1282	244
840	1283	242
841	1284	241
842	1285	239
843	1286	237
844	1287	236
845	1288	234
846	1290	233
847	1291	231
848	1292	229
849	1293	228
850	1294	226
851	1295	225
852	1296	223
853	1297	221
854	1298	220
855	1299	218
856	1300	217
857	1301	215
858	1302	213
859	1303	212
860	1304	210
861	1306	209
862	1307	207
863	1308	205
864	1309	204
865	1310	202
866	1311	201
867	1312	199
868	1313	198
869	1314	196
870	1315	194
871	1316	193
872	1317	191
873	1318	190
874	1320	188
875	1321	187
876	1322	185
877	1323	183
878	1324	182
879	1325	180
880	1326	179
881	1328	177
882	1329	176
883	1330	174
884	1331	172
885	1332	171
886	1333	169
887	1334	168
888	1335	166
889	1336	165
890	1337	163
891	1338	162
892	1339	160
893	1341	159
894	1342	157
895	1344	156
896	1345	154
897	1346	152
898	1347	151
899	1348	149
900	1350	148
901	1351	146
902	1352	145
903	1353	143
904	1354	142
905	1355	140
906	1356	139
907	1358	137
908	1359	136
909	1360	134
910	1361	133
911	1362	131
912	1363	129
913	1364	128
914	1365	126
915	1366	125
916	1367	123
917	1369	122
918	1370	120
919	1371	119
920	1372	117
921	1373	116
922	1374	114
923	1375	113
924	1376	111
925	1377	110
926	1379	108
927	1380	107
928	1381	105
929	1382	104
930	1383	102
931	1384	101
932	1385	99
933	1387	98
934	1388	96
935	1389	94
936	1390	93
937	1391	91
938	1393	90
939	1394	88
940	1395	87
941	1396	85
942	1397	84
943	1398	82
944	1399	81
945	1401	79
946	1402	78
947	1403	76
948	1404	75
949	1405	73
950	1406	72
951	1408	70
952	1409	69
953	1410	67
954	1411	66
955	1412	65
956	1413	63
957	1414	62
958	1415	60
959	1416	59
960	1418	57
961	1419	56
962	1420	54
963	1421	53
964	1422	51
965	1423	50
966	1424	48
967	1425	47
968	1426	45
969	1427	44
970	1428	42
971	1429	41
972	1431	39
973	1432	38
974	1433	36
975	1435	35
976	1436	33
977	1437	32
978	1438	30
979	1439	29
980	1440	27
981	1441	26
982	1442	24
983	1443	23
984	1445	22
985	1446	20
986	1447	19
987	1448	17
988	1449	16
989	1450	14
990	1451	13
991	1452	11
992	1453	10
993	1454	8
994	1455	7
995	1456	5
996	1458	4
997	1459	2
998	1460	1
999	1461	0
